date,Gold_INR_AM,Gold_INR_PM,Silver_INR_AM,Silver_INR_PM,Gold_London_AM_Fix_USD,Gold_London_PM_Fix_USD,Silver_London_Fix_USD,Gold_COMEX_close_USD,Silver_COMEX_close_USD,Gold_CFTC_Net,Silver_CFTC_Net,DXY_close,US_10Y,India_10Y,USDINR_ibja,EURUSD_ibja,MCX_Gold_open,MCX_Gold_high,MCX_Gold_low,MCX_Gold_close,MCX_Gold_volume,MCX_Gold_OI,MCX_Silver_open,MCX_Silver_high,MCX_Silver_low,MCX_Silver_close,MCX_Silver_volume,MCX_Silver_OI,USDINR_Futures_close,Gold_Silver_Ratio,Gold_Crude_Ratio,SPDR_Gold_tonnes,iShares_Silver_tonnes
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10,51699.0,51479.0,62352.0,61361.0,1865.4,1860.9,21.87,1858.6,21.82,82936.0,15261.0,103.65,3.0338,7.468,77.665,1.0549,51259.0,51386.0,50901.0,50959.0,5772.0,8625.0,62450.0,62649.0,61163.0,61497.0,16255.0,16149.0,77.665,,,,
2022-05-11,51486.0,51496.0,61967.0,61473.0,1862.25,1857.35,21.87,1841.0,21.42,82936.0,15261.0,103.92,2.9908,7.301,77.4475,1.0564,50971.0,51118.0,50511.0,50586.0,6388.0,8419.0,61793.0,61999.0,60390.0,60618.0,14811.0,16335.0,77.4475,,,,
2022-05-12,51045.0,51205.0,60733.0,61450.0,1851.75,1851.95,21.79,1853.7,21.58,82936.0,15261.0,103.85,2.9207,7.215,77.4125,1.0559,50449.0,50888.0,50322.0,50822.0,6725.0,7832.0,60525.0,61574.0,60224.0,60752.0,16384.0,15762.0,77.4125,,,,
2022-05-13,51284.0,51118.0,60460.0,59796.0,1850.75,1837.05,20.99,1824.6,20.77,82936.0,15261.0,104.85,2.8479,7.244,77.5375,1.0449,50939.0,50946.0,50140.0,50174.0,7242.0,7482.0,60550.0,60655.0,58611.0,58751.0,19791.0,18289.0,77.5375,,,,
2022-05-16,50387.0,50465.0,59207.0,59106.0,1824.2,1811.55,20.84,1808.2,21.0,73891.0,1704.0,104.56,2.9185,7.318,77.5475,1.0405,50067.0,50249.0,49670.0,49873.0,7464.0,7066.0,58954.0,59481.0,58192.0,59332.0,14650.0,16986.0,77.5475,,,,
2022-05-17,50367.0,50305.0,59683.0,60042.0,1805.8,1809.5,21.17,1814.0,21.55,73891.0,1704.0,104.19,2.8822,7.318,77.5475,1.0405,49930.0,50297.0,49572.0,50248.0,5432.0,6503.0,59437.0,60999.0,59300.0,60926.0,13837.0,15104.0,77.5475,,,,
2022-05-18,50752.0,50593.0,61239.0,61302.0,1828.05,1825.0,21.78,1818.9,21.75,73891.0,1704.0,103.36,2.986,7.366,77.545,1.0536,50399.0,50580.0,50130.0,50173.0,5248.0,6327.0,60985.0,61560.0,60815.0,61156.0,9415.0,15265.0,77.545,,,,
2022-05-19,50297.0,50283.0,60961.0,61149.0,1818.5,1810.65,21.67,1822.4,21.54,73891.0,1704.0,103.81,2.884,7.353,77.6775,1.0522,50120.0,50366.0,49863.0,50218.0,6974.0,5850.0,60752.0,61320.0,60510.0,60778.0,11486.0,15072.0,77.6775,,,,
2022-05-20,50395.0,50682.0,61149.0,61087.0,1825.55,1844.0,21.56,1847.8,21.91,73891.0,1704.0,102.72,2.837,7.321,77.6925,1.0527,50280.0,50760.0,50058.0,50544.0,6354.0,5711.0,60700.0,61750.0,60175.0,61564.0,15405.0,13996.0,77.6925,,,,
2022-05-23,51012.0,51027.0,61855.0,62004.0,1846.3,1834.2,22.03,1848.4,21.67,54569.0,670.0,103.15,2.7811,7.359,77.705,1.0585,50471.0,50860.0,50471.0,50829.0,6148.0,5453.0,61500.0,61999.0,61145.0,61407.0,10611.0,14620.0,77.705,,,,
2022-05-24,51248.0,51317.0,61759.0,62206.0,1864.3,1856.2,22.09,1853.9,21.72,54569.0,670.0,102.08,2.8514,7.386,77.5675,1.068,50897.0,51156.0,50808.0,50907.0,4248.0,5173.0,61700.0,62273.0,61104.0,61303.0,14073.0,14592.0,77.5675,,,,
2022-05-25,51000.0,51292.0,61200.0,61711.0,1858.6,1867.1,21.93,1871.4,22.06,54569.0,670.0,101.86,2.7506,7.357,77.6075,1.0713,50940.0,51246.0,50880.0,51157.0,5015.0,4791.0,61349.0,62235.0,61060.0,61976.0,13601.0,12803.0,77.6075,,,,
2022-05-26,51217.0,51172.0,61757.0,61448.0,1859.05,1847.2,21.83,1852.5,21.87,54569.0,670.0,102.06,2.7452,7.301,77.64,1.0665,51109.0,51132.0,50705.0,50819.0,6202.0,4197.0,61996.0,62070.0,61230.0,61534.0,10005.0,13692.0,77.64,,,,
2022-05-27,50989.0,50945.0,61339.0,61605.0,1845.15,1848.25,21.89,1853.9,21.97,54569.0,670.0,101.83,2.7469,7.293,77.5875,1.0718,50840.0,50920.0,50580.0,50871.0,5008.0,2681.0,61526.0,61998.0,61240.0,61793.0,10138.0,13392.0,77.5875,,,,
2022-05-30,51163.0,51204.0,62173.0,62538.0,1858.95,1851.8,22.275,1857.3,22.096,77493.0,-541.0,101.67,2.7378,7.35,77.8275,1.0718,50952.0,51066.0,50850.0,50913.0,4381.0,1382.0,61980.0,62887.0,61980.0,62116.0,15760.0,12332.0,77.8275,,,,
2022-05-31,51295.0,51184.0,62462.0,62073.0,1857.25,1854.95,22.04,1857.3,22.1,77493.0,-541.0,101.67,2.7378,7.408,77.77,1.0791,50974.0,51112.0,50920.0,50930.0,999.0,661.0,62277.0,62585.0,62030.0,62049.0,3663.0,12981.0,77.7725,,,,
2022-06-01,51192.0,51125.0,61501.0,61321.0,1854.4,1838.7,21.77,1848.4,21.69,77493.0,-541.0,101.75,2.8441,7.416,77.89,1.0717,50959.0,51180.0,50903.0,50990.0,282.0,419.0,61597.0,61874.0,61183.0,61255.0,5752.0,14441.0,77.8925,,,,
2022-06-02,50702.0,50606.0,60765.0,60811.0,1829.7,1844.9,21.61,1848.7,21.92,77493.0,-541.0,102.5,2.9058,7.415,77.7375,1.0731,50700.0,50700.0,50415.0,50480.0,2676.0,13967.0,60752.0,60950.0,60502.0,60798.0,5828.0,15477.0,77.735,,,,
2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06,51469.0,51455.0,62699.0,62788.0,1829.7,1844.9,21.61,1850.2,21.91,62668.0,3197.0,102.14,2.9332,7.457,77.7875,1.0751,51340.0,51390.0,50900.0,50970.0,5068.0,14191.0,62666.0,62936.0,61577.0,61669.0,16044.0,12227.0,77.7875,84.45,15.56,,
2022-06-07,51167.0,51112.0,62471.0,62592.0,1844.5,50890.0,22.12,1843.7,22.09,62668.0,3197.0,102.44,3.0399,7.498,77.795,1.0738,51126.0,51133.0,50815.0,50870.0,5767.0,14268.0,62199.0,63029.0,62056.0,62299.0,15152.0,10747.0,77.795,83.46,15.56,,
2022-06-08,50850.0,51089.0,61668.0,62052.0,1856.6,50988.0,22.28,1852.1,22.18,62668.0,3197.0,102.32,2.9736,7.517,77.95,1.0686,50787.0,51070.0,50681.0,50968.0,4856.0,14388.0,61951.0,62355.0,61542.0,62243.0,13386.0,11056.0,77.95,83.51,15.51,,
2022-06-09,51038.0,51038.0,62287.0,61685.0,1848.35,1852.95,21.92,1856.5,22.09,62668.0,3197.0,102.54,3.0215,7.494,77.8275,1.0734,50900.0,50990.0,50851.0,50939.0,1282.0,14417.0,62120.0,62375.0,61925.0,61953.0,3456.0,11744.0,77.91,84.03,15.2,,
2022-06-10,51136.0,51029.0,62048.0,61806.0,1849.25,1844.85,21.93,1852.8,21.82,62668.0,3197.0,103.22,3.0418,7.496,77.87,1.0731,51046.0,51135.0,50805.0,51005.0,4575.0,14212.0,62056.0,62240.0,60929.0,61411.0,17187.0,13900.0,77.87,84.92,15.25,,
2022-06-13,50984.0,50935.0,61203.0,60881.0,1843.35,1830.0,21.59,1875.5,21.93,69768.0,7620.0,104.15,3.1555,7.519,77.965,1.0603,50900.0,51797.0,50420.0,51701.0,11971.0,14446.0,61147.0,62080.0,60250.0,61929.0,27823.0,12032.0,77.965,85.52,15.54,,
2022-06-14,51657.0,51435.0,61325.0,60912.0,1855.95,1830.85,21.56,1831.8,21.26,69768.0,7620.0,105.08,3.3598,7.602,78.125,1.05,51530.0,51660.0,50551.0,50664.0,9024.0,13443.0,61700.0,61700.0,59702.0,60311.0,23737.0,15040.0,78.125,86.18,15.15,,
2022-06-15,50725.0,50647.0,60164.0,60881.0,1823.65,1818.3,21.24,1813.5,20.95,69768.0,7620.0,105.52,3.4733,7.581,78.105,1.0456,50537.0,50667.0,50151.0,50195.0,6593.0,13080.0,60280.0,60450.0,59358.0,59501.0,16124.0,15969.0,78.105,86.55,15.25,,
2022-06-16,50619.0,50954.0,60193.0,60750.0,1823.15,1823.75,21.46,1819.6,21.5,69768.0,7620.0,105.16,3.2839,7.592,78.2425,1.0499,50261.0,50861.0,50211.0,50438.0,7082.0,12888.0,59800.0,61180.0,59800.0,60697.0,20694.0,12520.0,78.2425,84.62,15.78,,
2022-06-17,50861.0,50614.0,61074.0,60550.0,1831.55,1826.5,21.44,1849.9,21.98,69768.0,7620.0,103.63,3.1952,7.617,78.155,1.0427,50650.0,51092.0,50295.0,50986.0,7777.0,13121.0,61223.0,61645.0,60289.0,61527.0,17709.0,10598.0,78.155,84.18,15.73,,
2022-06-20,51185.0,51169.0,61673.0,61576.0,1849.85,1841.55,21.85,1840.6,21.68,49561.0,1802.0,104.7,3.2256,7.544,78.135,1.053,50977.0,51179.0,50815.0,50834.0,5166.0,12681.0,61415.0,61720.0,60849.0,60937.0,12600.0,11377.0,78.135,84.89,16.8,,
2022-06-21,51064.0,51005.0,61067.0,60979.0,1841.2,1836.5,21.66,1840.6,21.68,49561.0,1802.0,104.7,3.2256,7.427,78.025,1.0537,50985.0,50985.0,50713.0,50735.0,2751.0,12585.0,61057.0,61160.0,60670.0,60744.0,8138.0,11570.0,78.025,84.89,16.8,,
2022-06-22,50943.0,50914.0,60773.0,61077.0,1836.5,1840.25,21.67,1838.8,21.85,49561.0,1802.0,104.44,3.2749,7.482,78.1475,1.0561,50827.0,50950.0,50650.0,50760.0,4652.0,12524.0,60962.0,61690.0,60573.0,61271.0,13675.0,9496.0,78.1475,84.15,16.79,,
2022-06-23,50764.0,51155.0,60383.0,60744.0,1827.3,1841.85,21.42,1838.4,21.5,49561.0,1802.0,104.2,3.1561,7.395,78.3575,1.0532,50691.0,51146.0,50522.0,50904.0,6314.0,12448.0,61101.0,61101.0,60113.0,60648.0,13972.0,9787.0,78.3575,85.52,17.31,,
2022-06-24,50994.0,50853.0,60409.0,59999.0,1831.4,1841.9,21.19,1829.8,21.09,49561.0,1802.0,104.43,3.087,7.419,78.3125,1.0513,50800.0,51060.0,50560.0,50594.0,7219.0,12110.0,60374.0,60618.0,59444.0,59504.0,19050.0,9477.0,78.3125,86.76,17.55,,
2022-06-27,50776.0,50829.0,59666.0,59350.0,1826.5,1825.45,20.86,1830.3,21.16,61816.0,7809.0,104.19,3.1301,7.444,78.3475,1.0538,50549.0,50741.0,50410.0,50623.0,4976.0,11824.0,59513.0,59889.0,58605.0,59749.0,18755.0,7966.0,78.3475,86.5,17.01,,
2022-06-28,51021.0,51094.0,60507.0,60832.0,1838.05,1826.3,21.46,1824.8,21.19,61816.0,7809.0,103.94,3.1997,7.411,78.4225,1.0573,50730.0,50980.0,50575.0,50649.0,6283.0,11770.0,60250.0,60729.0,59900.0,59946.0,12188.0,5849.0,78.4225,86.13,16.65,,
2022-06-29,51039.0,51029.0,60488.0,60518.0,1827.0,1819.05,21.24,1821.2,20.87,61816.0,7809.0,104.51,3.1715,7.466,79.065,1.06,50604.0,50960.0,50604.0,50822.0,5102.0,11497.0,59760.0,60535.0,59481.0,59539.0,11219.0,2917.0,79.065,87.26,16.3,,
2022-06-30,51025.0,51159.0,59691.0,59853.0,1811.85,1817.75,20.98,1817.5,20.74,61816.0,7809.0,105.11,3.0891,7.459,79.1625,1.0548,50779.0,51146.0,50640.0,50729.0,7291.0,11172.0,60050.0,60529.0,59575.0,59791.0,18386.0,16069.0,79.1625,87.64,16.56,,
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-04,51849.0,51791.0,58400.0,57773.0,1795.65,1797.45,19.73,1801.5,19.67,46637.0,993.0,105.14,2.8803,7.424,79.0975,1.047,51000.0,52032.0,50727.0,51917.0,13273.0,11142.0,58320.0,59800.0,57537.0,58175.0,29755.0,20106.0,79.0975,91.6,16.61,,
2022-07-05,52339.0,52218.0,58013.0,58123.0,1807.05,1808.4,19.86,1801.5,19.67,46637.0,993.0,105.14,2.8803,7.374,79.0975,1.0475,52050.0,52300.0,52000.0,52122.0,4385.0,10967.0,58400.0,58626.0,58122.0,58488.0,8309.0,19764.0,79.0975,91.6,16.61,,
2022-07-06,52411.0,52304.0,58661.0,58153.0,1804.4,1772.0,19.84,1763.9,19.12,46637.0,993.0,106.54,2.8054,7.391,79.49,1.0315,52199.0,52279.0,51250.0,51302.0,7773.0,10222.0,58798.0,58978.0,56750.0,56865.0,19003.0,22477.0,79.49,92.25,17.73,,
2022-07-07,51581.0,51298.0,56081.0,56449.0,1766.65,1754.3,19.22,1736.5,19.16,46637.0,993.0,107.1,2.928,7.294,79.1975,1.0216,51382.0,51520.0,50450.0,50500.0,8879.0,9819.0,56900.0,57278.0,56100.0,56726.0,18992.0,21897.0,79.1975,90.64,17.62,,
2022-07-08,50871.0,50883.0,56583.0,56881.0,1743.45,1747.95,19.43,1739.7,19.19,46637.0,993.0,107.13,2.9945,7.354,79.285,1.0213,50661.0,50830.0,50562.0,50621.0,4894.0,9561.0,56900.0,57433.0,56850.0,56939.0,13405.0,21348.0,79.285,90.67,16.93,,
2022-07-11,50877.0,50853.0,56526.0,56427.0,1737.05,1738.2,19.2,1742.3,19.24,26806.0,-8309.0,107.01,3.0803,7.418,79.405,1.0156,50670.0,50973.0,50366.0,50779.0,5555.0,9153.0,56851.0,57389.0,56461.0,57131.0,13210.0,20832.0,79.405,90.57,16.63,,
2022-07-12,50924.0,50877.0,56466.0,56745.0,1737.4,1740.0,19.21,1731.7,19.13,26806.0,-8309.0,108.02,2.9928,7.427,79.5825,1.013,50709.0,50869.0,50616.0,50644.0,3271.0,8866.0,57069.0,57289.0,56879.0,56925.0,9888.0,21240.0,79.5825,90.51,16.64,,
2022-07-13,50770.0,50878.0,56046.0,56097.0,1734.35,1730.7,18.87,1724.8,18.96,26806.0,-8309.0,108.07,2.9687,7.394,79.685,1.0078,50680.0,50794.0,50438.0,50457.0,5627.0,8506.0,56777.0,56780.0,56020.0,56466.0,17061.0,22029.0,79.685,90.98,18.0,,
2022-07-14,50656.0,50800.0,55888.0,56074.0,1728.9,1724.6,18.96,1735.5,19.19,26806.0,-8309.0,107.96,2.9336,7.339,79.7175,1.0074,50431.0,50946.0,50160.0,50802.0,7583.0,8008.0,56475.0,57374.0,56302.0,57127.0,18119.0,20560.0,79.7175,90.42,18.02,,
2022-07-15,50804.0,50565.0,56317.0,55685.0,1716.15,1700.7,18.76,1705.8,18.23,26806.0,-8309.0,108.54,2.9595,7.384,80.105,1.0025,50725.0,50729.0,50067.0,50228.0,7111.0,7593.0,56950.0,56988.0,54506.0,55035.0,33043.0,25084.0,80.105,93.6,17.81,,
2022-07-18,50386.0,50403.0,54560.0,54767.0,1702.55,1706.15,18.46,1703.6,18.59,2748.0,-9942.0,108.06,2.9152,7.438,79.9275,1.0065,50262.0,50280.0,49957.0,50107.0,6191.0,6820.0,55174.0,55800.0,54533.0,55587.0,18538.0,22312.0,79.9275,91.62,17.46,,
2022-07-19,50629.0,50667.0,54574.0,55614.0,1723.65,1719.05,18.88,1710.2,18.84,2748.0,-9942.0,107.37,2.9855,7.437,80.0475,1.0164,50150.0,50620.0,50150.0,50361.0,5352.0,6168.0,56120.0,56370.0,55866.0,56091.0,11615.0,21269.0,80.0475,90.77,16.67,,
2022-07-20,50493.0,50678.0,55204.0,55563.0,1712.95,1713.05,18.9,1728.1,18.71,2748.0,-9942.0,106.68,3.0209,7.434,80.0275,1.027,50300.0,50489.0,50211.0,50320.0,4608.0,5898.0,55681.0,56000.0,55501.0,55727.0,9802.0,21843.0,80.0275,92.35,16.58,,
2022-07-21,50477.0,50553.0,55230.0,55367.0,1712.65,1709.3,18.78,1717.7,18.67,2748.0,-9942.0,107.08,3.0265,7.448,80.0925,1.0206,50275.0,50465.0,50191.0,50225.0,4973.0,5560.0,55849.0,56280.0,55550.0,55619.0,13729.0,22048.0,80.0925,92.01,17.2,,
2022-07-22,50182.0,49972.0,54737.0,53907.0,1686.55,1705.1,18.27,1731.3,18.72,2748.0,-9942.0,106.91,2.8747,7.441,79.9325,1.0185,50000.0,50480.0,49703.0,50375.0,7868.0,5075.0,55450.0,55499.0,54151.0,55411.0,26441.0,22117.0,79.9325,92.49,17.97,,
2022-07-25,50677.0,50816.0,55085.0,55009.0,1725.0,1736.95,18.81,1745.3,18.62,-9721.0,-13489.0,106.73,2.7504,7.415,79.9475,1.0171,50385.0,50870.0,50315.0,50644.0,5026.0,4752.0,55435.0,55755.0,55088.0,55131.0,13988.0,22767.0,79.9475,93.75,18.43,,
2022-07-26,50803.0,50911.0,54402.0,54727.0,1731.95,1718.9,18.76,1737.1,18.33,-9721.0,-13489.0,106.48,2.7959,7.391,79.81,1.0249,50673.0,50793.0,50446.0,50536.0,4706.0,3808.0,54976.0,55180.0,54160.0,54407.0,15416.0,24481.0,79.81,94.78,17.96,,
2022-07-27,50822.0,50760.0,54106.0,54155.0,1719.85,1720.05,18.54,1735.7,18.54,-9721.0,-13489.0,107.19,2.8068,7.367,79.795,1.0141,50598.0,50705.0,50465.0,50584.0,4806.0,2932.0,54610.0,54854.0,54320.0,54715.0,13321.0,23217.0,79.795,93.64,18.27,,
2022-07-28,50780.0,50842.0,54411.0,54840.0,1723.95,1714.05,18.77,1737.5,18.6,-9721.0,-13489.0,106.45,2.7849,7.339,80.135,1.0192,50568.0,50753.0,50505.0,50720.0,4913.0,1935.0,54605.0,55125.0,54331.0,54844.0,16055.0,22834.0,80.135,93.41,17.86,,
2022-07-29,51174.0,51222.0,55844.0,55972.0,1746.6,1753.5,19.33,1769.2,19.87,-9721.0,-13489.0,106.35,2.6759,7.332,79.895,1.0158,50760.0,51391.0,50760.0,51304.0,3699.0,935.0,55345.0,57734.0,55345.0,57619.0,31204.0,16407.0,79.895,89.05,18.35,,
2022-08-01,51623.0,51466.0,57912.0,57553.0,1758.9,1753.4,20.07,1781.8,20.2,-10474.0,-17493.0,105.9,2.6487,7.317,79.465,1.0248,51521.0,51694.0,51311.0,51626.0,4489.0,15635.0,57830.0,58435.0,57404.0,58370.0,18283.0,15461.0,79.465,88.22,18.07,,
2022-08-02,51405.0,51668.0,57912.0,58379.0,1766.75,1772.4,20.41,1787.7,20.36,-10474.0,-17493.0,105.45,2.5732,7.239,79.2775,1.027,51468.0,51715.0,51332.0,51517.0,6881.0,15732.0,58032.0,58835.0,57936.0,58326.0,13856.0,15514.0,79.2775,87.8,19.04,,
2022-08-03,51437.0,51549.0,57622.0,57904.0,1772.9,1779.75,20.34,1789.7,20.14,-10474.0,-17493.0,106.24,2.7483,7.195,78.83,1.026,51601.0,51739.0,51320.0,51382.0,7405.0,15573.0,58261.0,58438.0,57480.0,57586.0,20776.0,17327.0,78.83,88.87,18.95,,
2022-08-04,51486.0,51566.0,57057.0,57309.0,1766.6,1761.25,19.92,1776.4,19.89,-10474.0,-17493.0,106.51,2.7046,7.237,79.3675,1.0217,51319.0,51680.0,51275.0,51389.0,6000.0,15464.0,57472.0,57945.0,57170.0,57554.0,16024.0,17545.0,79.3675,89.29,19.59,,
